,date,rf,price,shift_1,ret,excess_ret,cumulative_excess_ret,log_cumulative_excess_return
103,2020-05-29,0.0014000000000000002,35.57,33.67,0.056430056430056386,0.05503005643005639,-0.7256219761600824,0.053569256029374124
104,2020-06-01,0.0014000000000000002,35.49,35.57,-0.002249086308687048,-0.0036490863086870483,-0.7266232052502812,-0.003655760465460789
105,2020-06-02,0.0015,36.88,35.49,0.039165962242885335,0.037665962242885334,-0.7163262052211573,0.036973923937503095
106,2020-06-03,0.0016,37.33,36.88,0.012201735357917454,0.010601735357917454,-0.7133187707209359,0.010545931030259803
107,2020-06-04,0.0015,37.42,37.33,0.0024109295472810985,0.0009109295472810985,-0.7130576243185347,0.0009105149027499593
108,2020-06-05,0.0015,39.49,37.42,0.05531801175841796,0.05381801175841796,-0.6976149561701211,0.052419770845135716
109,2020-06-08,0.0017000000000000001,38.17,39.49,-0.03342618384401115,-0.03512618384401115,-0.7082365888113689,-0.035757946653160566
110,2020-06-09,0.0019,38.98,38.17,0.021220854073879882,0.019320854073879883,-0.7025994705196958,0.01913657619404896
111,2020-06-10,0.0017000000000000001,39.54,38.98,0.014366341713699392,0.012666341713699392,-0.6988324937874633,0.0125867946170386
112,2020-06-11,0.0017000000000000001,36.43,39.54,-0.07865452706120384,-0.08035452706120383,-0.7230326663153738,-0.08376703870887114
113,2020-06-12,0.0016,36.24,36.43,-0.0052154817458138275,-0.006815481745813827,-0.7249203321222881,-0.006838813212078465
114,2020-06-15,0.0018,37.07,36.24,0.022902869757174343,0.021102869757174344,-0.719115361718218,0.02088328803194739
115,2020-06-16,0.0017000000000000001,38.26,37.07,0.03210142972754242,0.030401429727542423,-0.7105760671259482,0.02994846391312911
116,2020-06-17,0.0017000000000000001,37.91,38.26,-0.009147935180345046,-0.010847935180345046,-0.7137157191894065,-0.010907203041524483
117,2020-06-18,0.0016,38.79,37.91,0.023212872592983453,0.021612872592983452,-0.7075282935028733,0.021382626080636458
118,2020-06-19,0.0015,39.72,38.79,0.023975251353441602,0.0224752513534416,-0.7009549183855803,0.022226404586582982
119,2020-06-22,0.0016,40.6,39.72,0.022155085599194425,0.020555085599194424,-0.6948080211349777,0.020346680840045428
120,2020-06-23,0.0016,40.4,40.6,-0.004926108374384306,-0.006526108374384306,-0.6967997370640437,-0.006547496524683227
121,2020-06-24,0.0015,37.91,40.4,-0.06163366336633669,-0.06313366336633669,-0.7159418803968272,-0.06521465725684772
122,2020-06-25,0.0016,38.66,37.91,0.019783698232656292,0.01818369823265629,-0.7107766532694273,0.01802035197947527
123,2020-06-26,0.0014000000000000002,38.53,38.66,-0.003362648732539976,-0.004762648732539976,-0.7121541224751546,-0.004774026283240529
124,2020-06-29,0.0014000000000000002,39.67,38.53,0.029587334544510784,0.028187334544510785,-0.7040405144281034,0.027797382477920518
125,2020-06-30,0.0016,39.27,39.67,-0.010083186286866613,-0.011683186286866614,-0.7074982642314052,-0.011751970982260218
126,2020-07-01,0.0014000000000000002,39.88,39.27,0.0155334861217214,0.0141334861217214,-0.7033641950083402,0.014034539622865161
127,2020-07-02,0.0014000000000000002,40.57,39.88,0.017301905717151397,0.015901905717151395,-0.6986471204050316,0.015776795004095234
128,2020-07-06,0.0015,40.51,40.57,-0.0014789253142716854,-0.0029789253142716854,-0.6995448281265857,-0.0029833711436766386
129,2020-07-07,0.0015,40.59,40.51,0.0019748210318441227,0.00047482103184412266,-0.6994021656918539,0.00047470834000873374
130,2020-07-08,0.0015,40.91,40.59,0.007883715200788203,0.006383715200788204,-0.6974832347276569,0.0063634255938409545
131,2020-07-09,0.0013,39.64,40.91,-0.03104375458323139,-0.03234375458323139,-0.7072677627409387,-0.03287837314612774
132,2020-07-10,0.0013,40.56,39.64,0.023208879919273503,0.021908879919273504,-0.7008543273063297,0.02167232921494011
133,2020-07-13,0.0014000000000000002,40.06,40.56,-0.012327416173570018,-0.013727416173570019,-0.7049608244519182,-0.013822508400898048
